"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"riBMI","=~","BMI1",1,1,1,0,NA,NA,1,1,4.45253992442917,0.940753656063958,0.940753656063958
"riBMI","=~","BMI2",1,1,1,0,NA,NA,1,1,4.45253992442917,0.954775105497588,0.954775105497588
"riBMI","=~","BMI3",1,1,1,0,NA,NA,1,1,4.45253992442917,0.963019515279465,0.963019515279465
"riBMI","=~","BMI4",1,1,1,0,NA,NA,1,1,4.45253992442917,0.974649147394004,0.974649147394004
"riBMI","=~","BMI5",1,1,1,0,NA,NA,1,1,4.45253992442917,0.97091211730775,0.97091211730775
"riBMI","=~","BMI6",1,1,1,0,NA,NA,1,1,4.45253992442917,0.968132266658338,0.968132266658338
"riBMI","=~","BMI7",1,1,1,0,NA,NA,1,1,4.45253992442917,0.960816152272399,0.960816152272399
"riPA","=~","PA1",1,1,1,0,NA,NA,1,1,2.13752964240623,0.69853331955444,0.69853331955444
"riPA","=~","PA2",1,1,1,0,NA,NA,1,1,2.13752964240623,0.703098364901985,0.703098364901985
"riPA","=~","PA3",1,1,1,0,NA,NA,1,1,2.13752964240623,0.715825267142027,0.715825267142027
"riPA","=~","PA4",1,1,1,0,NA,NA,1,1,2.13752964240623,0.663575724332328,0.663575724332328
"riPA","=~","PA5",1,1,1,0,NA,NA,1,1,2.13752964240623,0.70835416418726,0.70835416418726
"riPA","=~","PA6",1,1,1,0,NA,NA,1,1,2.13752964240623,0.687181630344367,0.687181630344367
"riPA","=~","PA7",1,1,1,0,NA,NA,1,1,2.13752964240623,0.662339791123571,0.662339791123571
"riFV","=~","FV1",1,1,1,0,NA,NA,1,1,0.51198264308862,0.723590498961835,0.723590498961835
"riFV","=~","FV2",1,1,1,0,NA,NA,1,1,0.51198264308862,0.727327946980082,0.727327946980082
"riFV","=~","FV3",1,1,1,0,NA,NA,1,1,0.51198264308862,0.724030580229499,0.724030580229499
"riFV","=~","FV4",1,1,1,0,NA,NA,1,1,0.51198264308862,0.73828098473418,0.73828098473418
