"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"riBMI","=~","BMI1",1,1,1,0,NA,NA,1,1,4.45278184511974,0.937966742811677
"riBMI","=~","BMI2",1,1,1,0,NA,NA,1,1,4.45278184511974,0.952280554384029
"riBMI","=~","BMI3",1,1,1,0,NA,NA,1,1,4.45278184511974,0.960553291756726
"riBMI","=~","BMI4",1,1,1,0,NA,NA,1,1,4.45278184511974,0.973556416892892
"riBMI","=~","BMI5",1,1,1,0,NA,NA,1,1,4.45278184511974,0.973275413669937
"riBMI","=~","BMI6",1,1,1,0,NA,NA,1,1,4.45278184511974,0.970857664888721
"riBMI","=~","BMI7",1,1,1,0,NA,NA,1,1,4.45278184511974,0.9631047483273
"riPA","=~","PA1",1,1,1,0,NA,NA,1,1,2.13452876514127,0.697169500463906
"riPA","=~","PA2",1,1,1,0,NA,NA,1,1,2.13452876514127,0.702012663938191
"riPA","=~","PA3",1,1,1,0,NA,NA,1,1,2.13452876514127,0.714623842929915
"riPA","=~","PA4",1,1,1,0,NA,NA,1,1,2.13452876514127,0.662369544233848
"riPA","=~","PA5",1,1,1,0,NA,NA,1,1,2.13452876514127,0.708118800169337
"riPA","=~","PA6",1,1,1,0,NA,NA,1,1,2.13452876514127,0.686851100061932
"riPA","=~","PA7",1,1,1,0,NA,NA,1,1,2.13452876514127,0.662920742257888
"riFV","=~","FV1",1,1,1,0,NA,NA,1,1,0.511108477584461,0.721760803079491
"riFV","=~","FV2",1,1,1,0,NA,NA,1,1,0.511108477584461,0.725370767518027
"riFV","=~","FV3",1,1,1,0,NA,NA,1,1,0.511108477584461,0.722743749190853
"riFV","=~","FV4",1,1,1,0,NA,NA,1,1,0.511108477584461,0.737734065724723
"riFV","=~","FV5",1,1,1,0,NA,NA,1,1,0.511108477584461,0.739853077457671
"riFV","=~","FV6",1,1,1,0,NA,NA,1,1,0.511108477584461,0.728213807354457
"riFV","=~","FV7",1,1,1,0,NA,NA,1,1,0.511108477584461,0.724573356992601
"wBMI1","=~","BMI1",1,1,1,0,NA,NA,1,1,1.6459984840398,0.346725236144204
"wPA1","=~","PA1",1,1,1,0,NA,NA,1,1,2.19495715848653,0.716906331136019
"wFV1","=~","FV1",1,1,1,0,NA,NA,1,1,0.490134592935635,0.692142574285131
"wBMI2","=~","BMI2",1,1,1,0,NA,NA,1,1,1.42720155835637,0.305224091025014
"wPA2","=~","PA2",1,1,1,0,NA,NA,1,1,2.1653961614116,0.71216446111162
"wFV2","=~","FV2",1,1,1,0,NA,NA,1,1,0.485028920095887,0.688358372964482
"wBMI3","=~","BMI3",1,1,1,0,NA,NA,1,1,1.2891535934493,0.278095979286503
"wPA3","=~","PA3",1,1,1,0,NA,NA,1,1,2.08938167651921,0.69950894427168
"wFV3","=~","FV3",1,1,1,0,NA,NA,1,1,0.488742104721319,0.691116106747303
"wBMI4","=~","BMI4",1,1,1,0,NA,NA,1,1,1.04485305875747,0.228446718353916
"wPA4","=~","PA4",1,1,1,0,NA,NA,1,1,2.41427229562435,0.749177273328179
"wFV4","=~","FV4",1,1,1,0,NA,NA,1,1,0.467709128004987,0.675091436969297
"wBMI5","=~","BMI5",1,1,1,0,NA,NA,1,1,1.05061842721682,0.229640957029912
"wPA5","=~","PA5",1,1,1,0,NA,NA,1,1,2.12842320295156,0.706093311713642
"wFV5","=~","FV5",1,1,1,0,NA,NA,1,1,0.464764806112354,0.67276847709774
"wBMI6","=~","BMI6",1,1,1,0,NA,NA,1,1,1.09917200538421,0.239656826580883
"wPA6","=~","PA6",1,1,1,0,NA,NA,1,1,2.25867233851402,0.726798160663409
"wFV6","=~","FV6",1,1,1,0,NA,NA,1,1,0.481023845084097,0.685350020630572
"wBMI7","=~","BMI7",1,1,1,0,NA,NA,1,1,1.24427068587665,0.269126817224535
"wPA7","=~","PA7",1,1,1,0,NA,NA,1,1,2.41069459145879,0.748689581525114
"wFV7","=~","FV7",1,1,1,0,NA,NA,1,1,0.486154751106555,0.689197685962797
"wBMI2","~","wBMI1",1,1,0.534158720283683,0.0471568647330978,11.3272738403403,0,0.441732963782984,0.626584476784382,0.616047844591854,0.616047844591854
"wBMI2","~","wPA1",1,1,-0.00520090183889835,0.0157530003303661,-0.330153096542053,0.741284285086954,-0.0360762151348634,0.0256744114570667,-0.0079986997316781,-0.0079986997316781
"wBMI2","~","wFV1",1,1,0.0160795067512423,0.0827332296140615,0.194353669332756,0.845898964657587,-0.146074643617001,0.178233657119485,0.00552208092121352,0.00552208092121352
"wPA2","~","wBMI1",1,1,0.00263642990698353,0.0532967318312876,0.0494670088839449,0.960547128095601,-0.10182324497603,0.107096104789997,0.0020040488237234,0.0020040488237234
"wPA2","~","wPA1",1,1,0.370100383689149,0.0867636346490266,4.26561640929714,1.99351037235562e-05,0.200046784609266,0.540153982769033,0.375152824694926,0.375152824694926
"wPA2","~","wFV1",1,1,0.114651777243642,0.125676516222282,0.912276857204243,0.361622993875459,-0.131669668254495,0.360973222741779,0.0259512800336852,0.0259512800336852
"wFV2","~","wBMI1",1,1,0.0244699681335151,0.0107077238573249,2.28526327906521,0.0222973947318215,0.00348321501675797,0.0454567212502723,0.0830415028536966,0.0830415028536966
"wFV2","~","wPA1",1,1,0.00675471617283452,0.00814477435225358,0.829331284170635,0.406916973122326,-0.00920874821978805,0.0227181805654571,0.0305678940014067,0.0305678940014067
"wFV2","~","wFV1",1,1,0.120452119260667,0.0401888600783736,2.99715192284054,0.00272514867659313,0.0416834009273352,0.199220837593999,0.121720062445741,0.121720062445741
"wBMI3","~","wBMI2",1,1,0.489311049815978,0.0664329907223141,7.36548278943618,1.765254609154e-13,0.359104780614959,0.619517319016997,0.541708525940531,0.541708525940531
"wBMI3","~","wPA2",1,1,-0.0388525304661902,0.017889314482265,-2.17182891522801,0.0298685698113503,-0.0739149425595403,-0.00379011837284013,-0.0652607422111059,-0.0652607422111059
"wBMI3","~","wFV2",1,1,-0.024842479812775,0.0863051152026402,-0.287844813768524,0.773465531951826,-0.19399739729153,0.14431243766598,-0.00934669167221155,-0.00934669167221155
"wPA3","~","wBMI2",1,1,-0.0983029147626873,0.0526366549258925,-1.86757526482427,0.0618212968440013,-0.2014688626841,0.00486303315872486,-0.0671481303377801,-0.0671481303377801
"wPA3","~","wPA2",1,1,0.352188094946102,0.112893226770084,3.11965655533401,0.0018106201517587,0.130921436378224,0.57345475351398,0.36500116635542,0.36500116635542
"wPA3","~","wFV2",1,1,0.209731704494735,0.135511374942884,1.54770553086879,0.121693209863626,-0.0558657098888199,0.47532911887829,0.0486871035982382,0.0486871035982382
"wFV3","~","wBMI2",1,1,0.00990075025850194,0.0129926084867527,0.762029446865638,0.44604242941558,-0.0155642944407628,0.0353657949577666,0.0289117022276777,0.0289117022276777
"wFV3","~","wPA2",1,1,0.00179203847338648,0.00769446748489254,0.232899609609762,0.815839361593963,-0.0132888406772174,0.0168729176239903,0.00793971543250942,0.00793971543250942
"wFV3","~","wFV2",1,1,0.134541415870304,0.0386737755790864,3.47887977979218,0.000503514415740813,0.0587422085891104,0.210340623151498,0.133519246689325,0.133519246689325
"wBMI4","~","wBMI3",1,1,0.332857951319524,0.0669714595993506,4.97014628784873,6.69024055266476e-07,0.201596302512718,0.46411960012633,0.410684565121554,0.410684565121554
"wBMI4","~","wPA3",1,1,0.00385670720216455,0.0190224618854659,0.202744903650524,0.839334423934162,-0.0334266329906345,0.0411400473949636,0.0077122168446202,0.0077122168446202
"wBMI4","~","wFV3",1,1,-0.0388997691842241,0.0726791200286038,-0.535226199339159,0.592493451740963,-0.181348226868351,0.103548688499903,-0.0181958170145763,-0.0181958170145763
"wPA4","~","wBMI3",1,1,-0.0158600818380184,0.0908688831385482,-0.174538095883015,0.861442594028869,-0.193959820104952,0.162239656428915,-0.00846883822132992,-0.00846883822132992
"wPA4","~","wPA3",1,1,0.205739028297594,0.131081011078051,1.56955631182222,0.116518369094618,-0.0511750324724818,0.462653089067669,0.178052557140698,0.178052557140698
"wPA4","~","wFV3",1,1,-0.144718273988745,0.163685209907475,-0.884125536268964,0.376628449595673,-0.465535390209275,0.176098842231786,-0.0292965768397737,-0.0292965768397737
"wFV4","~","wBMI3",1,1,0.0147165161790792,0.0151806877893107,0.969423545449743,0.332333909288523,-0.0150370851485167,0.0444701175066751,0.0405633514065442,0.0405633514065442
"wFV4","~","wPA3",1,1,0.00704503879046616,0.0091332140398783,0.771364687141399,0.440490800015231,-0.0108557317907909,0.0249458093717232,0.031472071160882,0.031472071160882
"wFV4","~","wFV3",1,1,0.067706952573303,0.0355712948224501,1.9034154621375,0.0569863550201384,-0.00201150416215524,0.137425409308761,0.0707517483058183,0.0707517483058183
"wBMI5","~","wBMI4",1,1,0.190769547760664,0.0992712210462642,1.92170042586419,0.0546434636472832,-0.00379847019132876,0.385337565712656,0.189722681738545,0.189722681738545
"wBMI5","~","wPA4",1,1,-0.0190132771501868,0.0167608003406282,-1.13438957351569,0.256631170694001,-0.0518638421698847,0.0138372878695111,-0.0436916268395604,-0.0436916268395604
"wBMI5","~","wFV4",1,1,0.00496871522432955,0.0965151082937767,0.0514812169013536,0.958942068743542,-0.184197420995456,0.194134851444115,0.00221194812947696,0.00221194812947696
"wPA5","~","wBMI4",1,1,0.0963076922271468,0.139097413633359,0.692375866031558,0.488701317767704,-0.176318228836907,0.368933613291201,0.0472779035042766,0.0472779035042766
"wPA5","~","wPA4",1,1,-0.0550463671050753,0.078783974146578,-0.69870005545368,0.484739499289791,-0.209460118991303,0.0993673847811522,-0.0624391422214614,-0.0624391422214614
"wPA5","~","wFV4",1,1,-0.0845553094900973,0.15734941843123,-0.537372875814298,0.591010075499129,-0.392954502603631,0.223843883623436,-0.0185805576705627,-0.0185805576705627
"wFV5","~","wBMI4",1,1,-0.0341167747770594,0.027104255728041,-1.25872391108543,0.208130071683078,-0.0872401398317832,0.0190065902776644,-0.0766990443595091,-0.0766990443595091
"wFV5","~","wPA4",1,1,0.00216014552987648,0.00637622025469007,0.338781510611647,0.734774330876392,-0.0103370165268109,0.0146573075865638,0.0112211153656863,0.0112211153656863
"wFV5","~","wFV4",1,1,0.0927022230588682,0.0407277839092474,2.27614208682294,0.0228375067996178,0.0128772334266135,0.172527212691123,0.0932894989912503,0.0932894989912503
"wBMI6","~","wBMI5",1,1,0.273790681787137,0.144164626330599,1.89915299443346,0.0575443630280197,-0.00876679366551048,0.556348157239785,0.261696562573278,0.261696562573278
"wBMI6","~","wPA5",1,1,-0.016923937173109,0.0193900936254392,-0.872813587186879,0.382764692516002,-0.0549278223358296,0.0210799479896115,-0.0327713045711609,-0.0327713045711609
"wBMI6","~","wFV5",1,1,-0.145299352812654,0.0980820251110504,-1.4814065334412,0.138498274775058,-0.337536589561066,0.046937883935758,-0.0614371774457801,-0.0614371774457801
"wPA6","~","wBMI5",1,1,-0.098031126392496,0.100671940066011,-0.973768125738083,0.330171682682175,-0.295344503175652,0.0992822503906601,-0.0455990477558763,-0.0455990477558763
"wPA6","~","wPA5",1,1,0.243318842533514,0.121801641120236,1.99766473009443,0.0457530204206711,0.00459201267997988,0.482045672387049,0.229287560365823,0.229287560365823
"wPA6","~","wFV5",1,1,-0.373212504731035,0.177238283017007,-2.10571045023734,0.0352295115259122,-0.720593156126086,-0.0258318533359844,-0.0767955734182063,-0.0767955734182063
"wFV6","~","wBMI5",1,1,0.0046636143243423,0.0240178477240337,0.194172865859067,0.846040528415015,-0.042410502200931,0.0517377308496156,0.0101859381747068,0.0101859381747068
"wFV6","~","wPA5",1,1,-0.00610631065889238,0.00797628923450843,-0.765557827626684,0.443939445751281,-0.0217395502888035,0.00952692897101869,-0.0270190624095666,-0.0270190624095666
"wFV6","~","wFV5",1,1,0.0257957694322032,0.0449637538717822,0.573701419720469,0.566169867433333,-0.0623315687662133,0.11392310763062,0.0249238492045667,0.0249238492045667
"wBMI7","~","wBMI6",1,1,0.446900838562159,0.101340247080491,4.40990476574623,1.0341608895903e-05,0.248277604100006,0.645524073024312,0.394786196047176,0.394786196047176
"wBMI7","~","wPA6",1,1,-0.0256415555192907,0.0210498431275089,-1.21813523093582,0.223172587645284,-0.066898489929426,0.0156153788908446,-0.0465460392383101,-0.0465460392383101
"wBMI7","~","wFV6",1,1,-0.232155034062762,0.0877938644930342,-2.64431957065954,0.00818553339148353,-0.404227846532699,-0.0600822215928255,-0.0897490460942759,-0.0897490460942759
