"lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"riBMI","=~","BMI1",1,0,NA,NA,1,1,4.16438857986412,0.939796556639541
"riBMI","=~","BMI2",1,0,NA,NA,1,1,4.16438857986412,0.950931426883827
"riBMI","=~","BMI3",1,0,NA,NA,1,1,4.16438857986412,0.961755908632674
"riBMI","=~","BMI4",1,0,NA,NA,1,1,4.16438857986412,0.966123857807524
"riBMI","=~","BMI5",1,0,NA,NA,1,1,4.16438857986412,0.96556003789942
"riBMI","=~","BMI6",1,0,NA,NA,1,1,4.16438857986412,0.954566576109583
"riBMI","=~","BMI7",1,0,NA,NA,1,1,4.16438857986412,0.947600569013969
"riPA","=~","PA1",1,0,NA,NA,1,1,2.04151173723437,0.680000051622624
"riPA","=~","PA2",1,0,NA,NA,1,1,2.04151173723437,0.660717281692166
"riPA","=~","PA3",1,0,NA,NA,1,1,2.04151173723437,0.687208666051918
"riPA","=~","PA4",1,0,NA,NA,1,1,2.04151173723437,0.664132004902844
"riPA","=~","PA5",1,0,NA,NA,1,1,2.04151173723437,0.670941654440792
"riPA","=~","PA6",1,0,NA,NA,1,1,2.04151173723437,0.701280523993725
"riPA","=~","PA7",1,0,NA,NA,1,1,2.04151173723437,0.681291175415929
"riFV","=~","FV1",1,0,NA,NA,1,1,0.518221171036789,0.728393256869405
"riFV","=~","FV2",1,0,NA,NA,1,1,0.518221171036789,0.7296582977623
"riFV","=~","FV3",1,0,NA,NA,1,1,0.518221171036789,0.741752315460743
"riFV","=~","FV4",1,0,NA,NA,1,1,0.518221171036789,0.750179000359582
"riFV","=~","FV5",1,0,NA,NA,1,1,0.518221171036789,0.745677208863747
"riFV","=~","FV6",1,0,NA,NA,1,1,0.518221171036789,0.740209838324933
"riFV","=~","FV7",1,0,NA,NA,1,1,0.518221171036789,0.733314178798663
"wBMI1","=~","BMI1",1,0,NA,NA,1,1,1.51427989125777,0.341734446798186
"wPA1","=~","PA1",1,0,NA,NA,1,1,2.20126605809982,0.733212063316766
"wFV1","=~","FV1",1,0,NA,NA,1,1,0.487462027275185,0.685159297789339
"wBMI2","=~","BMI2",1,0,NA,NA,1,1,1.35495466120467,0.309401715193516
"wPA2","=~","PA2",1,0,NA,NA,1,1,2.31934277062775,0.750634847094987
"wFV2","=~","FV2",1,0,NA,NA,1,1,0.485659965914132,0.683811939429711
"wBMI3","=~","BMI3",1,0,NA,NA,1,1,1.186017349027,0.273907963027984
"wPA3","=~","PA3",1,0,NA,NA,1,1,2.15811711243035,0.726460081011437
"wFV3","=~","FV3",1,0,NA,NA,1,1,0.468562639089885,0.670673916675329
"wBMI4","=~","BMI4",1,0,NA,NA,1,1,1.11242528100647,0.258078847205861
"wPA4","=~","PA4",1,0,NA,NA,1,1,2.29813569847072,0.747615328938438
"wFV4","=~","FV4",1,0,NA,NA,1,1,0.456778815246705,0.661234805057552
"wBMI5","=~","BMI5",1,0,NA,NA,1,1,1.12213847425043,0.26018034747396
"wPA5","=~","PA5",1,0,NA,NA,1,1,2.25623443696781,0.741510145808035
"wFV5","=~","FV5",1,0,NA,NA,1,1,0.463061733840322,0.666307361644138
"wBMI6","=~","BMI6",1,0,NA,NA,1,1,1.3000438182745,0.29799773786797
"wPA6","=~","PA6",1,0,NA,NA,1,1,2.07529499116585,0.712885423239308
"wFV6","=~","FV6",1,0,NA,NA,1,1,0.470730629780483,0.672375932977213
"wBMI7","=~","BMI7",1,0,NA,NA,1,1,1.40390967132837,0.319457605331917
"wPA7","=~","PA7",1,0,NA,NA,1,1,2.19349994846516,0.732012523322096
"wFV7","=~","FV7",1,0,NA,NA,1,1,0.480467124764751,0.679889928718497
