"effect","est_SES_1","p_SES_1","est_SES_2","p_SES_2","est_SES_3","p_SES_3"
"wBMI2 ~ wBMI1",0.534,"***",0.584,"***",0.438,"***"
"wBMI2 ~ wPA1",-0.005,"",-0.031,"",-0.043,"*"
"wBMI2 ~ wFV1",0.016,"",-0.095,"",-0.099,""
"wPA2 ~ wBMI1",0.003,"",-0.103,".",-0.217,"*"
"wPA2 ~ wPA1",0.37,"***",0.467,"***",0.493,"***"
"wPA2 ~ wFV1",0.115,"",-0.129,"",0.115,""
"wFV2 ~ wBMI1",0.024,"*",0.011,"",0.011,""
"wFV2 ~ wPA1",0.007,"",0.001,"",0.005,""
"wFV2 ~ wFV1",0.12,"**",0.107,"*",0.232,"***"
"wBMI3 ~ wBMI2",0.489,"***",0.425,"***",0.252,"**"
"wBMI3 ~ wPA2",-0.039,"*",-0.022,"",-0.059,"*"
"wBMI3 ~ wFV2",-0.025,"",0.003,"",0.153,"*"
"wPA3 ~ wBMI2",-0.098,".",-0.071,"",-0.181,"."
"wPA3 ~ wPA2",0.352,"**",0.397,"***",0.352,"***"
"wPA3 ~ wFV2",0.21,"",0.034,"",0.248,"."
"wFV3 ~ wBMI2",0.01,"",-0.009,"",0.001,""
"wFV3 ~ wPA2",0.002,"",0.001,"",0.004,""
"wFV3 ~ wFV2",0.135,"***",0.142,"**",0.072,"*"
"wBMI4 ~ wBMI3",0.333,"***",0.474,"***",0.354,"***"
"wBMI4 ~ wPA3",0.004,"",0.008,"",-0.071,"***"
"wBMI4 ~ wFV3",-0.039,"",-0.052,"",-0.139,"."
"wPA4 ~ wBMI3",-0.016,"",-0.062,"",-0.258,"*"
"wPA4 ~ wPA3",0.206,"",0.479,"**",0.349,"***"
"wPA4 ~ wFV3",-0.145,"",-0.116,"",0.263,"."
"wFV4 ~ wBMI3",0.015,"",0.008,"",-0.029,""
"wFV4 ~ wPA3",0.007,"",0.012,"",0.007,""
"wFV4 ~ wFV3",0.068,".",0.097,"*",0.112,"**"
"wBMI5 ~ wBMI4",0.191,".",0.316,"*",0.442,"***"
"wBMI5 ~ wPA4",-0.019,"",-0.01,"",-0.017,""
"wBMI5 ~ wFV4",0.005,"",-0.155,"",-0.008,""
"wPA5 ~ wBMI4",0.096,"",0.077,"",-0.131,"."
"wPA5 ~ wPA4",-0.055,"",0.326,"**",0.086,""
"wPA5 ~ wFV4",-0.085,"",0.099,"",-0.309,"*"
"wFV5 ~ wBMI4",-0.034,"",-0.019,"",-0.031,"."
"wFV5 ~ wPA4",0.002,"",0.007,"",0.007,""
"wFV5 ~ wFV4",0.093,"*",0.071,"",0.123,"***"
"wBMI6 ~ wBMI5",0.274,".",0.62,"***",0.718,"***"
"wBMI6 ~ wPA5",-0.017,"",0.019,"",-0.001,""
"wBMI6 ~ wFV5",-0.145,"",-0.081,"",-0.185,"**"
"wPA6 ~ wBMI5",-0.098,"",0.078,"",0.028,""
"wPA6 ~ wPA5",0.243,"*",0.254,"***",0.164,"**"
"wPA6 ~ wFV5",-0.373,"*",-0.031,"",-0.105,""
"wFV6 ~ wBMI5",0.005,"",-0.007,"",-0.025,""
"wFV6 ~ wPA5",-0.006,"",-0.013,"",-0.006,""
"wFV6 ~ wFV5",0.026,"",0.121,"*",0.099,"*"
"wBMI7 ~ wBMI6",0.447,"***",0.632,"***",0.654,"***"
"wBMI7 ~ wPA6",-0.026,"",0.022,"",0.004,""
"wBMI7 ~ wFV6",-0.232,"**",-0.021,"",-0.051,""
"wPA7 ~ wBMI6",-0.067,"",-0.054,"",-0.023,""
"wPA7 ~ wPA6",0.08,"",0.33,"***",0.187,"**"
"wPA7 ~ wFV6",0.01,"",-0.113,"",-0.089,""
"wFV7 ~ wBMI6",-0.016,"",0.001,"",-0.028,"*"
"wFV7 ~ wPA6",0.013,".",0.001,"",0.012,""
"wFV7 ~ wFV6",0.145,"***",0.226,"***",0.148,"***"
